,text
8418,@nikhilsharmah We'd request you to write to us at customercare@foodpanda.in in this regard. The team will surely help you.
8419,"Enjoy the overdose of chocolate at its best because there is never such a thing called too much #chocolate
To Order… https://t.co/lqQQczzHOI"
8420,"Gifts from Swiggy India🎁
Prayaas-2018
• Football • Badminton • Skating •
#prayaasyouthfoundation #prayaas2018… https://t.co/rZOYArvH2Z"
8421,"@imshikha Pocket tweeted. Deleted. 
Useless swiggy app. Never got authorized."
8422,@gaurav4agarwal How is Swiggy doing in Ghy?
8423,@ChilisIndia Stewards approaching post meals for Zomato personal recommendations. Standard practice encouraged by t… https://t.co/dbdo1o6TWA
8424,Zomato Piggybank has to be one of the biggest scam by Zomato. The number of coins will never go down. Try what you… https://t.co/gsd25CLePV
8425,@Parth_Malhotra @Zomato @prateek_0490 Someone is in supper active mode https://t.co/P6UuMKxYvK
8426,"RT @ETPrime_com: From investors to arch rival #Uber, #Ola founder Bhavish Aggarwal is a busy man. But, he's getting personally involved in…"
8427,RT @swiggy_in: Get 50% off on your first Swiggy order! Use code BINGE50. No Minimum order value. Max. discount: ₹100/order. TCA.  https://t…
8428,"That's me😄
...
@PrayaasYouth #prayaas"
8429,RT @rdharne91: @MobiKwikSWAT I ordered 2 times on Foodpanda. Restaurant declined the order # b124-tpkm and other was successful order # z8t…
8430,Sunday just got better with Rs.150 off on breakfast you love! Use code BREAKFAST on the Foodpanda app. Min Order Va… https://t.co/pDnyxuxpYM
8431,RT @SemperFiUtd: Ashish when he is angry @Zomato but food is life. https://t.co/2DViK0ddKY
8432,"MONDAY OFFER !
For the #munchy Monday every starter your order, Get 50%* Off on the next starter.

Order in From Sw… https://t.co/UsPOhdRBFt"
8433,"RT @ETPrime_com: From investors to arch rival #Uber, #Ola founder Bhavish Aggarwal is a busy man. But, he’s getting… https://t.co/jk3hQidkrU"
8434,I guess you don’t need to retain users! Adding enough new users is the new mantra? @Zomato @ZomatoIN @zomatocare
8435,FoodPanda Offer – Get Food Worth Rs 200 for Free(All User) https://t.co/gQVcq6f27S #Bangalore #digitalmarketing
8436,"RT @Honeykiran: #SailajaReddyAlludu @vennelakishore  bhayyaaaaa ""Am at your service am ur @swiggy"" superb timing annnooooo https://t.co/ryw…"
8437,"@masoombakliwal Can't exactly say.
Might be facing competition because ubereats bhi launch hogaya.
Zomato and food… https://t.co/a3soEg0Q6V"
8438,@graywolfer_ Foodpanda 😍😍
8439,@prakashpantola @Zomato @ZomatoIN We never wanted to let you down. Looking into this right away. -Akki
8440,@SwiggyCares : This is wrt to Order #20115546735. I had informed in the night itself that the food is bad and I can… https://t.co/yXl774zshq
8441,Foodpanda tells me my order is on its way then tells me my order was cancelled 🙃 never using this site again
8442,"@foodpanda_ID how cunning of u. Sending a coupon in 2018, which was expired in 2017. And then nobody to hear any co… https://t.co/OMEtTHzwrc"
8443,@zomatocare @ZomatoIN @Zomato @deepigoyal @jagograhakjago unfortunately there is no update from Zomato. Have asked… https://t.co/19xB12Wqrk
8444,Bila foodpanda dah ada kat kawasan rumah I https://t.co/L6mwGLvygh
8445,RT @ImanAbdulRahim: Bila foodpanda dah ada kat kawasan rumah I https://t.co/L6mwGLvygh
8446,"Have a look at this review of Tamil Nadu House Canteen, Chanakyapuri on @Zomato — https://t.co/zZ5I0roXIs

#food… https://t.co/gtqoWWtn1e"
8447,RT @ImanAbdulRahim: Bila foodpanda dah ada kat kawasan rumah I https://t.co/L6mwGLvygh
8448,"The ever popular breakfast of Bombay
Kanda Poha
@Cafebombaydiar1 .
.
Order via Zomato or Swiggy
.… https://t.co/NcNLWdnBjG"
8449,"@deepigoyal 
Hi Sir, 
Good Morning, 
I have an issue while ordered food through Zomato. Writing mails to customers… https://t.co/Qy0IFw3w2U"
8450,Will Zomato some chai tea today
8451,@nishantg100 @ZomatoIN @Zomato @deepigoyal Reaching out to you ASAP. -Akki
8452,@maniabhi @i_deepakgulati @SwiggyCares Use @Zomato Nahi to pani peeke pet par kapda bandh kar so jaya kar ;)
8453,"RT @YouthPrayaas: Gifts from Swiggy India🎁
Prayaas-2018
• Football • Badminton • Skating •
#prayaasyouthfoundation #prayaas2018 #indiasport…"
8454,RT @deep__sanghvi: @Zomato @ZomatoIN @zomatocare @zomato This is not done. You can not change conditions with which we have subscribed post…
8455,@trivan205 @zomatocare @deepigoyal @umraanqsr That's weirs. All the restaurants we've been to have honoured zomato… https://t.co/8EPInkSoCv
8456,"@foodpandaIndia Yet another order failure, learn from Swiggy guys... don’t fail again https://t.co/m3tXJGgVlF"
8457,"@Techglares Foodpanda : Get Flat Rs 150 Off On Minimum order of 200 😍

 Code: BREAKFAST

+ Pay with PhonePe for 50%… https://t.co/EQWxhKYxEa"
8458,"تخفيضات مطاعم دبي 😘

⬇️
تطبيقات theentertainer (دبي 2018 + المطاعم الفاخرة 2018)

⬇️
تطبيق roundmenu 

⬇️
عروض المط… https://t.co/pabwaLUzn2"
8459,I guess we all need to make others aware and spread the word to let other stop using @foodpandaIndia becuase of all… https://t.co/9na01wOMEy
8460,@foodpandaIndia cheaters foodpanda given voucher for late order and blocked my account
8461,"L272EF #swiggy #referral 
get INR 100 off! 🥳"
8462,"@foodpandaIndia Worst of all @foodpandaIndia no response from you since two days 
I'm going to suggest everyone not to use foodpanda"
8463,"RT @Deepu_Cooolguy: @Techglares Foodpanda : Get Flat Rs 150 Off On Minimum order of 200 😍

 Code: BREAKFAST

+ Pay with PhonePe for 50% Cas…"
8464,@SwiggyCares @SwiggyCares @swiggy_in Im Feeling u r giving very poor seervice to your customer @Zomato i think much better than u
8465,"RT @Dubai_S66: تخفيضات مطاعم دبي 😘

⬇️
تطبيقات theentertainer (دبي 2018 + المطاعم الفاخرة 2018)

⬇️
تطبيق roundmenu 

⬇️
عروض المطاعم في تط…"
8466,"RT @Deepu_Cooolguy: @Techglares Foodpanda : Get Flat Rs 150 Off On Minimum order of 200 😍

 Code: BREAKFAST

+ Pay with PhonePe for 50% Cas…"
8467,"RT @Dubai_S66: تخفيضات مطاعم دبي 😘

⬇️
تطبيقات theentertainer (دبي 2018 + المطاعم الفاخرة 2018)

⬇️
تطبيق roundmenu 

⬇️
عروض المطاعم في تط…"
8468,I feel like it's an unwritten responsibility to let you guys know that you can actually have Lil Orbits AKA THE BES… https://t.co/Cie2kC13iW
8469,"RT @Deepu_Cooolguy: @Techglares Foodpanda : Get Flat Rs 150 Off On Minimum order of 200 😍

 Code: BREAKFAST

+ Pay with PhonePe for 50% Cas…"
8470,@itsas_hi_Q @YouTube Zomato 😂
8471,AAAAHHH!!!! 😍😍😍
8472,"@_sethia @arjun_singh1891 @ZomatoIN @Zomato @deepigoyal @TheKenWeb @factordaily @medianama ""A scenario: Customers c… https://t.co/2jWSuwHrTH"
8473,"RT @Deepu_Cooolguy: @Techglares Foodpanda : Get Flat Rs 150 Off On Minimum order of 200 😍

 Code: BREAKFAST

+ Pay with PhonePe for 50% Cas…"
8474,"@_sethia @arjun_singh1891 @ZomatoIN @Zomato @deepigoyal @TheKenWeb @factordaily @medianama Ravi, the moot point her… https://t.co/vX7u2HglEq"
8475,"Feeling lazy and need some Shyknees at home right away? We are HIA to rescue you!

Order in via Zomato/Swiggy or ca… https://t.co/cscugGXH7j"
8476,"RT @Deepu_Cooolguy: @Techglares Foodpanda : Get Flat Rs 150 Off On Minimum order of 200 😍

 Code: BREAKFAST

+ Pay with PhonePe for 50% Cas…"
8477,"RT @Deepu_Cooolguy: @Techglares Foodpanda : Get Flat Rs 150 Off On Minimum order of 200 😍

 Code: BREAKFAST

+ Pay with PhonePe for 50% Cas…"
8478,"@foodpandaIndia order :  x4ny-xx3o   1 hr passed , delivery boy not assigned , totally worst service.. worst decisi… https://t.co/qyASmJgcGx"
8479,"@foodpanda_ID how cunning of u. Sending a coupon in 2018, which was expired in 2017. And then nobody to hear any co… https://t.co/24snYV8lSI"
8480,Got Zomato Gold subscription. And I already feel it is a trap. You will spend more and also become fat.
8481,"Sunday = #Punday
Double Roti #Burger was arrested for being the most delicious one!
Now it's your turn to try this… https://t.co/9oW633QSGK"
8482,"RT @Deepu_Cooolguy: @Techglares Foodpanda : Get Flat Rs 150 Off On Minimum order of 200 😍

 Code: BREAKFAST

+ Pay with PhonePe for 50% Cas…"
8483,"50% on all orders !!

#BulkOrders #swiggy #zomato #foodpanda #uber #ubereats #facebook #fb #instagram #indianfood… https://t.co/61WL9mnLtx"
8484,It’s a fraud. Foodpanda delivery boy picked the food for a prepaid order and did not deliver wherein status is show… https://t.co/fQRUHqZYaa
8485,"Foodpanda : Get Flat Rs 150 Off On Minimum order of 200

Use Promo Code BREAKFAST"
8486,"RT @Deepu_Cooolguy: @Techglares Foodpanda : Get Flat Rs 150 Off On Minimum order of 200 😍

 Code: BREAKFAST

+ Pay with PhonePe for 50% Cas…"
8487,"🔥#Foodpanda  #Food #Offer🔥
 
Get Rs 150/- Off on Order
Above Rs 200/-

👉🏻 https://t.co/pSuGBYdmrw

Use Code:  BREAK… https://t.co/GNbZ5iB0zj"
8488,@foodpandaIndia Another one...Looks like there are more number of fail orders than successful ones. #Foodpanda… https://t.co/5DjceJRI9W
8489,"#Deals
Foodpanda : Get Flat Rs 150 Off On Minimum order of 200

Use Promo Code BREAKFAST"
8490,"maratha maanush embracing videshi culture 😔
tilak didn't snort chai patti for this 😔😔"
8491,"Today's Foodpanda Offer: use Code Breakfast for 150 off upto 200, then pay through PhonePe for additional 50 rupees… https://t.co/Hh9QJajMWW"
8492,"RT @BestLootDeal: Today's Foodpanda Offer: use Code Breakfast for 150 off upto 200, then pay through PhonePe for additional 50 rupees off🤩…"
8493,"BREAKFAST is working 
All use this code"
8494,"This is Sunday Morning, You say i don't like this.
Need a Sunday Brunch badly
https://t.co/zI08veGK1M"
8495,RT @meet_amlani: You guys recently started delivering in Cuttack area @ZomatoIN @Zomato ... And since 3 consecutive nights I am not having…
8496,"RT @Swarnabh: maratha maanush embracing videshi culture 😔
tilak didn't snort chai patti for this 😔😔 https://t.co/PnzhzsttPf"
8497,Swiggy worst service ever. There will be no reply from concerned even the delivery executive hurts you physically.… https://t.co/2bLXIe51Cp
8498,"RT @Deepu_Cooolguy: @Techglares Foodpanda : Get Flat Rs 150 Off On Minimum order of 200 😍

 Code: BREAKFAST

+ Pay with PhonePe for 50% Cas…"
8499,"RT @BestLootDeal: Today's Foodpanda Offer: use Code Breakfast for 150 off upto 200, then pay through PhonePe for additional 50 rupees off🤩…"
8500,Never order from swiggy. They don't even have a call centre number to contact and complain customer needs… https://t.co/7wHEtLAHuB
8501,"order online from Foodpanda
Got order confirmation by
1. Text
2 Mail
3 app notification
4 pados wali aunty
And so on ...m"
8502,"RT @Deepu_Cooolguy: @Techglares Foodpanda : Get Flat Rs 150 Off On Minimum order of 200 😍

 Code: BREAKFAST

+ Pay with PhonePe for 50% Cas…"
8503,"Jaago public jaago.
Shun single use of plastic,breathe easy.
Request specially to Home delivery food restaurants to… https://t.co/0J0ughjons"
8504,"RT @Dubai_S66: تخفيضات مطاعم دبي 😘

⬇️
تطبيقات theentertainer (دبي 2018 + المطاعم الفاخرة 2018)

⬇️
تطبيق roundmenu 

⬇️
عروض المطاعم في تط…"
8505,"STREAK ON FLEAK!
🔥
#loveparathawala #parathawala #parathas #paratha #mumbai #sunday #sundayfunday #sundayvibes… https://t.co/3xc5rbgyvE"
8506,"RT @BestLootDeal: Today's Foodpanda Offer: use Code Breakfast for 150 off upto 200, then pay through PhonePe for additional 50 rupees off🤩…"
8507,"wifi takde, foodpanda takde, movies tak download, andr*w f*y replied im*n, this weekend is a great weekend 😃👍🏻"
8508,@zomatocare @Zomato @ZomatoIN Temperature has confirm to arrange a meal for the order id 1577532337 now they are de… https://t.co/FT3f04rpe1
8509,@__itya @b50 I m talking about product discovery. It could be Ambuja Cement/Reebok ad with all its portfolio of pro… https://t.co/lafduKP6QD
8510,@azfarayun Foodpanda
8511,@Zomato @ZomatoIN Do remove your food order category as you never deliver the food. Its always a technical glithc o… https://t.co/N2UhSSupTV
8512,"RT @Deepu_Cooolguy: @Techglares Foodpanda : Get Flat Rs 150 Off On Minimum order of 200 😍

 Code: BREAKFAST

+ Pay with PhonePe for 50% Cas…"
8513,@Zomato @ZomatoIN Do remove your food order category as you never deliver the food. Its always a technical glitch o… https://t.co/7fJkoho0LI
8514,"Authentic Taste Of Old Dilli
#dilli6onwheels
Order Online: 
https://t.co/jMzYxmcvWT
Delivery Partners: 
#Swiggy… https://t.co/FIchu3B6ao"
8515,"@Deepak42546286 @Zomato @ZomatoIN Hey Deepak, we are getting this checked and we'll sort this out for you ASAP!
-AM"
8516,RT @SemperFiUtd: Ashish when he is angry @Zomato but food is life. https://t.co/2DViK0ddKY
8517,@PhonePe_ Hi. I chose Phonepe on Foodpanda. Getting Restaurant is closed error. I selected paytm it works fine and… https://t.co/D2KOODtvaT
8518,"@arpita9kar @Zomato @ZomatoIN Hi Arpita, seems like we are on a rough note.
Kindly DM us your contact number so tha… https://t.co/JH5ujhUQun"
8519,"Wow. 
“Story of how Swiggy POP was built…” by @Taruna2309 https://t.co/811Ji7UjEI"
8520,"RT @Dubai_S66: تخفيضات مطاعم دبي 😘

⬇️
تطبيقات theentertainer (دبي 2018 + المطاعم الفاخرة 2018)

⬇️
تطبيق roundmenu 

⬇️
عروض المطاعم في تط…"
8521,വിശന്നു കറങ്ങി ഇരിക്കുമ്പ ഈ Swiggy delivery boyന്റ route map നോക്കണം... ഇവനൊക്കെ പ്രാന്താണോന്ന് തോന്നിപ്പോവും!
8522,"@zomatocare @ZomatoIN @Zomato @deepigoyal Thanks my issue resolved finally. Could've avoided all this, if your Chat… https://t.co/YYHVPwWzzk"
8523,Namimiss ko yung foodpanda at grabfood sa manila. Hahaha sorry na 🤣 *thinking of milktea*
8524,@zomatocare @Zomato @ZomatoIN Request you to contact me on +919583639090 asap
8525,RT @swiggy_in: Get 50% off on your first Swiggy order! Use code BINGE50. No Minimum order value. Max. discount: ₹100/order. TCA.  https://t…
8526,"@rationalist_10 @b50 If that was the case,there would be no TV ads now.
Amazon lets you search/discover products th… https://t.co/Vs7xsOgaXP"
8527,"Although Swiggy and Zomato may be competing with each other today, just realized that the fundamental DNA of these… https://t.co/KClhdL7pBj"
8528,"@SwiggyCares @swiggy_in 
Worst ever service experience.
Swiggy Delivered the food in worst damaged condition and th… https://t.co/dP5C0o9XMG"
8529,Register on Swiggy with GAMY0J and earn a discount. Download on https://t.co/0d69i7RT4x
8530,"Not gonna give any business to @Zomato &amp; suggest others to do the same, @swiggy_in far better when it comes to deli… https://t.co/H6YUMil34S"
8531,FOODPANDA LOOT – Get Free Food Worth₹200 (All User) https://t.co/I1Sd76tU3p https://t.co/jrChopqMg1
8532,foodpanda https://t.co/h6qNk0NONN
8533,"RT @Dubai_S66: تخفيضات مطاعم دبي 😘

⬇️
تطبيقات theentertainer (دبي 2018 + المطاعم الفاخرة 2018)

⬇️
تطبيق roundmenu 

⬇️
عروض المطاعم في تط…"
8534,"RT @unitedaryan: Not gonna give any business to @Zomato &amp; suggest others to do the same, @swiggy_in far better when it comes to delivery.…"
8535,"Eat full, pay half with #Swiggy! Pay up to 50% less on your first order!

🥘🍲----&gt;https://t.co/J66a4mPcvB… https://t.co/erV1RHiNXV"
8536,"Veg Thali
Authentic Taste Of Old!!!!! #dilli6onwheels
Order Online: 
https://t.co/jMzYxmcvWT
Delivery Partners:… https://t.co/rlkRTr0CDf"
8537,@unitedaryan @Zomato @swiggy_in Damn @futbolash is a social media influencer.
8538,"Our Delivery Partners
Order Online
Authentic Taste of Old Dilli 
#dilli6onwheels
Order Online:… https://t.co/TdfbGelcPi"
8539,"RT @unitedaryan: Not gonna give any business to @Zomato &amp; suggest others to do the same, @swiggy_in far better when it comes to delivery.…"
8540,@unitedaryan @Zomato @swiggy_in 100%
8541,"RT @unitedaryan: Not gonna give any business to @Zomato &amp; suggest others to do the same, @swiggy_in far better when it comes to delivery.…"
8542,@IlianiMdAnsori Kt kg ni ili. Foodpanda tak smpai sini. Haha
8543,"RT @ETPrime_com: From investors to arch rival #Uber, #Ola founder Bhavish Aggarwal is a busy man. But, he's getting personally involved in…"
8544,Legally zomato are not wrong as they've protected themselves with their t&amp;cs but I personally find this to be an im… https://t.co/yovjyaRTr5
8545,@zomatocare Hey Zomato. Got this offer in paper in Bangalore. But there is no way to order this online. Also your S… https://t.co/8IQGmB0Seo
8546,Think twice before trying again by friend. I advise you to delete the app and use better options available to avoid… https://t.co/fhjhtK1e4o
8547,"@SwiggyCares Similar thing happened with @Zomato today, the difference is Zomato didn't cancel the order Instead ca… https://t.co/BUYY7y8BcN"
8548,"#EngineersDay
A successful venture by engineers, Zomato, is now a household name. Explore how they did it by learni… https://t.co/H9sE7cNKdJ"
8549,"RT @unitedaryan: Not gonna give any business to @Zomato &amp; suggest others to do the same, @swiggy_in far better when it comes to delivery.…"
8550,@blurt2kc @unitedaryan @Zomato @swiggy_in 😤😤😤
8551,Kindly don't order your food from zomato @ZomatoIN @Zomato . Worst food ordering app. The restaurants are third cla… https://t.co/JcHsba4fWY
8552,"#FoodPanda Offer : 

60% Off Upto Rs.100

Code - CRAVE60

Pls let us know if it’s working.

Pls RT and Share."
8553,@Paytmcare Foodpanda Order #m8im-b5ap@1 https://t.co/yprOzEdl8v
8554,These people are taking customer for a ride and need to be strongly dealt with. @foodpandaIndia Is making money by… https://t.co/JAG7nPhz4n
8555,"@ajaybawankan1 @ZomatoIN @Zomato Hi Ajay, that doesn't sound correct at all. Kindly share your order details and we… https://t.co/AwFKAcr2vT"
8556,"RT @unitedaryan: Not gonna give any business to @Zomato &amp; suggest others to do the same, @swiggy_in far better when it comes to delivery.…"
8557,RT @unitedaryan: Legally zomato are not wrong as they've protected themselves with their t&amp;cs but I personally find this to be an immoral p…
8558,@unitedaryan @futbolash @Zomato @swiggy_in Always found Swiggy better when I was using both. Don't know about the c… https://t.co/qIqmPoDNjn
8559,"RT @Techglares: #FoodPanda Offer : 

60% Off Upto Rs.100

Code - CRAVE60

Pls let us know if it’s working.

Pls RT and Share."
8560,"@Zomato fuck off zomato . bloody cheats , scoundrels . nice way to loot people based fake advertisements and promot… https://t.co/HEpxaA7pzG"
8561,"#Shameless #unethical @UberEats_IND, their #scamming #policy is #nodelivery #norefund #boo #unistall #systemerror… https://t.co/4g87fbFjCS"
8562,"@zomatocare @ZomatoIN @Zomato Dear sir/Mam, 
It is absolutely correct. My order no. is 1093642922 which is now cancelled."
8563,"It is such a fraud, cancels order if promo is used. Just shows fake promo for getting orders"
8564,"RT @Techglares: #FoodPanda Offer : 

60% Off Upto Rs.100

Code - CRAVE60

Pls let us know if it’s working.

Pls RT and Share."
8565,@unitedaryan @futbolash @Zomato @swiggy_in Whereas the delivery guy from Swiggy once returned to me when I had acci… https://t.co/YaqlaltNVi
8566,"RT @unitedaryan: Not gonna give any business to @Zomato &amp; suggest others to do the same, @swiggy_in far better when it comes to delivery.…"
8567,"RT @Techglares: #FoodPanda Offer : 

60% Off Upto Rs.100

Code - CRAVE60

Pls let us know if it’s working.

Pls RT and Share."
8568,Zomato LMAO. You’re finito. L.
8569,"Follow us @whizzo_co
#9999016406
.
.
#foodlover #foodloverofinstagram #foodloverunite #diet #dietchart #dietplan… https://t.co/eHnrZwJto4"
8570,"RT @Techglares: #FoodPanda Offer : 

60% Off Upto Rs.100

Code - CRAVE60

Pls let us know if it’s working.

Pls RT and Share."
8571,@zomatocare wat d hell is this guys?!! After 40 mins of placing the order wen we r waiting for the food and acciden… https://t.co/KGLlRKHQet
8572,"RT @Techglares: #FoodPanda Offer : 

60% Off Upto Rs.100

Code - CRAVE60

Pls let us know if it’s working.

Pls RT and Share."
8573,"@sayantantantani @Zomato @ZomatoIN Hi Sayantan, that sounds pure evil. We have your details and we shall get this c… https://t.co/Oe5JsMKSUP"
8574,@ZomatoIN @Zomato @zomatocare OMG. Zomato you thugs. My order was cancelled bcz food was damaged. I got a call and… https://t.co/NbZVtlosSZ
8575,@NimitParmar @stayhungry @swiggy They are usually good but when we have trouble customer service is very tough and… https://t.co/NyIs2XQ8GS
8576,"RT @Techglares: #FoodPanda Offer : 

60% Off Upto Rs.100

Code - CRAVE60

Pls let us know if it’s working.

Pls RT and Share."
8577,"RT @Dubai_S66: تخفيضات مطاعم دبي 😘

⬇️
تطبيقات theentertainer (دبي 2018 + المطاعم الفاخرة 2018)

⬇️
تطبيق roundmenu 

⬇️
عروض المطاعم في تط…"
8578,"#offerslootforyou
#Foodpanda

60% Off Upto Rs.100

Code - CRAVE60

Pls RT and Share."
8579,RT @prasunsachan: @kesarwaniashish @vivekbbs https://t.co/eYWLFd1Eya
8580,"@Zomato @zomatocare @ZomatoIN...
Order id- 1113143741
Ordered on 9th sept, didn't get complete order. The support p… https://t.co/SqRxD1i2Ar"
8581,"@shankybordoloi @ZomatoIN @Zomato @UfterYou @ConsumrConxion @Consumer2Court Hey Shashank, apologies for the mess. W… https://t.co/oJzB6Thntk"
8582,"@deepigoyal @ZomatoIN In how many cities Zomato services are available? 
Please answer!"
8583,@foodpandaIndia Thanks for the breakfast Foodpanda ! (150 on 200 using code breakfast) 💙💙💙💙💙 https://t.co/U7ZPzqmWIa
8584,"RT @Deepu_Cooolguy: @Techglares Foodpanda : Get Flat Rs 150 Off On Minimum order of 200 😍

 Code: BREAKFAST

+ Pay with PhonePe for 50% Cas…"
8585,@AmazonHelp @SwiggyCares @amazonpay @ICICIBank_Care @ICICIBank @amazonIN I am still awaiting an update from your en… https://t.co/jcQTHbc01N
8586,"@Swiggy Hi Swiggy Team Mumbai

It's not first time with me. I placed my order 1hour before and m still waiting for… https://t.co/6cmMb3z8aR"
8587,@prasunsachan @Zomato @fssaiindia @zomatocare @ZomatoIN @UberEats @foodpandaIndia @SwiggyCares Mattan with cocorach… https://t.co/MDrHQqTMVI
8588,@zomatocare @ZomatoIN @Zomato @UfterYou @ConsumrConxion @Consumer2Court I want you guys to listen to the call recor… https://t.co/VUfRxCZTdU
8589,@azfarayun Hahaha ingat kat sini. Kalau sini pakai foodpanda je.
8590,@swiggy Team my order No Your Swiggy order no. #20154651808 for Rs. 105 is expected to arrive in the next 37 min. Y… https://t.co/xJEUh6cUNG
8591,Order Not placed but Amount Deducted @OBCIndOfficial @Zomato https://t.co/WI9x0lYFcE
8592,I advise you try other options which are much better and at least will not cheat you for the money paid in advance… https://t.co/4iaIvPHKYf
8593,@Zomato @ZomatoIN @ZomatoGold  The most unethical trade what Zomato does after buying Gold. #Zomato reverse you pol… https://t.co/zqXg7RLing
8594,@Lastofpaul @Zomato Hi zomato team can u plz confirm why zomato gold is for at least 2 diners. I purchased a 24 mon… https://t.co/nxq1TrD7an
8595,"check this out, FoodPanda Offer – Get Food Worth Rs 200 for Free(All User) https://t.co/KOLK0b1T1j"
8596,"Money gone, food gone and now refund gone! This is @foodpandaIndia service #foodpandaindiasucks"
8597,@Zomato @ZomatoIN @ZomatoGold  The most unethical trade what Zomato does after buying Gold. #Zomato reverse you pol… https://t.co/zT9HDEgfue
8598,"@mofassir007 @Zomato @ZomatoIN Hi Syed, apologies for the mess over here.
We are getting this checked and we'll reach out to you ASAP!
-AM"
8599,@foodpandaIndia after the merger  Foodpanda not even bothering to reply. Providing offer doesn't mean customer sati… https://t.co/6vvsBo0LYS
8600,@zomatocare @ZomatoIN @Zomato @UfterYou @ConsumrConxion @Consumer2Court Order Number : 1033187667
8601,I confirm they are cancelling orders and not refunding any money to customers. Beware of using @foodpandaIndia… https://t.co/qjLTZiLF2e
8602,Found these from 2014 Zomato meet up! @Zomato It's great to be a verified reviewer! :) https://t.co/t6S7FYNwBC
8603,"@Chandragupta_ @OBCIndOfficial @Zomato Hi Chandragupta, kindly DM us your contact number and we shall reach out to you ASAP!
-AM"
8604,Seriously? Weren't they supposed to delete the restaurants which failed the health &amp; safety guidelines?
8605,foodpanda - BREAKFAST - 150/- https://t.co/xnI37qJDKg
8606,"RT @Techglares: #FoodPanda Offer : 

60% Off Upto Rs.100

Code - CRAVE60

Pls let us know if it’s working.

Pls RT and Share."
8607,"#Zomato Offer :

50% Off Upto Rs.100

Code : FAV50 

Working for All.

Pls RT and Share."
8608,"RT @Techglares: #Zomato Offer :

50% Off Upto Rs.100

Code : FAV50 

Working for All.

Pls RT and Share."
8609,"RT @Techglares: #Zomato Offer :

50% Off Upto Rs.100

Code : FAV50 

Working for All.

Pls RT and Share."
8610,"Might be a bucket from last night with no charge, expect it from @foodpandaIndia as they are not delivering any fre… https://t.co/Hv9lsfVG1r"
8611,"RT @Techglares: #Zomato Offer :

50% Off Upto Rs.100

Code : FAV50 

Working for All.

Pls RT and Share."
8612,@jamailll Coba pake zomato mas
8613,"Foodpanda : Get Flat ₹ 150 Off On Minimum order of ₹ 200

Use Promo Code BREAKFAST

+ Pay with PhonePe for 50% Cashback Max ₹ 50"
8614,@SwiggyCares  really pathetic experience from swiggy delivery.The cake which is received was in pathetic condition.… https://t.co/zKqoo5ROmu
8615,Nowadays they are in the business of making money from cancelled orders which are pre paid and No refunds… https://t.co/eHYtTGzDoa
8616,"RT @Techglares: #Zomato Offer :

50% Off Upto Rs.100

Code : FAV50 

Working for All.

Pls RT and Share."
8617,"@SwiggyCares  Folks, order not confirmed, pls CHK. Order#20158678528 #swiggy"
8618,"RT @Techglares: #Zomato Offer :

50% Off Upto Rs.100

Code : FAV50 

Working for All.

Pls RT and Share."
8619,"Have a look at this review of PiFi Pizza, Model Town on @Zomato — https://t.co/rijr8zQHSC"
8620,It's working 🤘🤘
8621,"RT @Techglares: #Zomato Offer :

50% Off Upto Rs.100

Code : FAV50 

Working for All.

Pls RT and Share."
8622,patiently waiting for foodpanda to arrive 😇😇😇😇
8623,Do it faaaaaassst...
8624,"RT @sakthi41075508: @SwiggyCares  Folks, order not confirmed, pls CHK. Order#20158678528 #swiggy"
8625,RT @sakthi41075508: Do it faaaaaassst... https://t.co/IYPVAJ6G5x
8626,"There is no sincere love then the love of food 
@FoodPandapk @pizzahut
.
.
#SuperSeptemberDeals #foodpanda… https://t.co/Pj0eR7YuHn"
8627,@foodpandaIndia...tried ordering for two times from the restaurant showing in list of restaurant..at checkout page… https://t.co/934fqcbAl3
8628,Get Flat 40% Cashback On Swiggy Using Amazon Pay Upto Rs. 150 https://t.co/7ULgNwcYvR https://t.co/uxj8bdMmMP
8629,RT @Rishiprince05: It's working 🤘🤘 https://t.co/Jo3oJOVue7
8630,"@zomatocare @Zomato @ZomatoIN You also lied, you promised me to add 400 buckes over phone the same is not added yet."
8631,"RT @Techglares: #Zomato Offer :

50% Off Upto Rs.100

Code : FAV50 

Working for All.

Pls RT and Share."
8632,"@Techglares Zomato fav50, biryani50...FP Crave60, breakfast all r working.....do festival 😄💃💃"
8633,"RT @Techglares: #Zomato Offer :

50% Off Upto Rs.100

Code : FAV50 

Working for All.

Pls RT and Share."
8634,@zomatocare @ZomatoIN @Zomato @UfterYou @ConsumrConxion @Consumer2Court After so much still i dont have any resolut… https://t.co/cb4STqhqM4
8635,"RT @Techglares: #FoodPanda Offer : 

60% Off Upto Rs.100

Code - CRAVE60

Pls let us know if it’s working.

Pls RT and Share."
8636,"RT @unitedaryan: Not gonna give any business to @Zomato &amp; suggest others to do the same, @swiggy_in far better when it comes to delivery.…"
8637,"#offerslootforyou 

#Zomato Offer :

50% Off Upto Rs.100

Code : FAV50 

Working for All.

Pls like and RT"
8638,"For those craving homestyle, healthy food in Bangalore please check out @HomelyIndia 

Great food, great prices and fast delivery on Swiggy!"
8639,Most people I know have redeemed over and above the prices they had paid for zomato gold and people are crying caus… https://t.co/TjdAuCgeVo
8640,"RT @PavaniTej: @Techglares Zomato fav50, biryani50...FP Crave60, breakfast all r working.....do festival 😄💃💃"
